Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Ethiopia,ETH,..,..,3.7,3.7,3.7,3.7,3.8,3.7,3.7,3.8,3.8,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,"Gambia, The",GMB,..,..,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.4,3.4,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Georgia,GEO,..,..,4.2,4.1,4.1,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Ghana,GHA,..,..,3.9,4,4,3.9,3.9,3.8,3.8,3.7,3.7,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Grenada,GRD,..,..,3.9,3.9,3.9,3.8,3.8,3.7,3.7,3.8,3.8,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Guinea,GIN,..,..,3,3.1,3,3.1,3.2,3.2,3.3,3.3,3.3,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Guinea-Bissau,GNB,..,..,2.7,2.5,2.4,2.3,2.2,2.3,2.3,2.3,2.3,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Guyana,GUY,..,..,3.3,3.3,3.3,3.3,3.2,3.1,3.1,3.2,3.2,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Haiti,HTI,..,..,2.6,2.6,2.6,2.7,2.7,2.6,2.6,2.6,2.6,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Honduras,HND,..,..,3.6,3.6,3.6,3.8,3.7,3.7,3.8,3.7,3.6,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,India,IND,..,..,3.6,3.7,3.7,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Kenya,KEN,..,..,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Kiribati,KIR,..,..,3,3,3.1,3.1,3.1,3.1,3.1,3,3.1,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Kosovo,XKX,..,..,3.1,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.4,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Kyrgyz Republic,KGZ,..,..,3.6,3.6,3.6,3.5,3.7,3.7,3.7,3.8,3.8,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Lao PDR,LAO,..,..,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.5,3.4,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Lesotho,LSO,..,..,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Liberia,LBR,..,..,3,3.1,3.1,3,3,3,3.1,3.1,3.1,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Madagascar,MDG,..,..,3.3,2.9,2.9,3.1,3.2,3.3,3.3,3.3,3.3,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Malawi,MWI,..,..,3.6,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Malaysia,MYS,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Maldives,MDV,..,..,3.9,3.9,3.9,3.7,3.6,3.6,3.5,3.5,3.7,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Mali,MLI,..,..,3.6,3.2,3.2,3.3,3.2,3.1,3.1,3.1,3.2,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Malta,MLT,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Marshall Islands,MHL,..,..,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Mauritania,MRT,..,..,3.3,3.3,3.4,3.5,3.4,3.5,3.6,3.5,3.5,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,"Micronesia, Fed. Sts.",FSM,..,..,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Moldova,MDA,..,..,4.1,4.1,4,4,3.9,3.9,3.9,3.9,3.9,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Mongolia,MNG,..,..,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Morocco,MAR,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Mozambique,MOZ,..,..,3.3,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.3,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Myanmar,MMR,..,..,..,..,2.6,2.8,2.8,2.8,2.6,2.6,2.6,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Nepal,NPL,..,..,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.7,3.7,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Netherlands,NLD,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Nicaragua,NIC,..,..,3.7,3.8,3.9,3.7,3.7,3.7,3.6,3.6,3.6,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Niger,NER,..,..,3.4,3.4,3.3,3.3,3.3,3.3,3.2,3.2,3.3,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Nigeria,NGA,..,..,3.3,3.4,3.5,3.5,3.5,3.5,3.5,3.4,3.5,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,North Macedonia,MKD,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Norway,NOR,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Pakistan,PAK,..,..,3.1,3.1,3.1,3.2,3.1,3.2,3.2,3.2,3.2,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Panama,PAN,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Papua New Guinea,PNG,..,..,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Paraguay,PRY,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Peru,PER,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Portugal,PRT,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,..,..
